start,bugzilla,total,end
2018-02-05,0,0,2018-02-12
2018-01-29,1,1,2018-02-05
2018-01-22,1,1,2018-01-29
2018-01-15,0,0,2018-01-22
2018-01-08,0,0,2018-01-15
2018-01-01,0,0,2018-01-08
