start,bugzilla,total,end
2018-02-05,1,1,2018-02-12
2018-01-29,3,3,2018-02-05
2018-01-22,7,7,2018-01-29
2018-01-15,1,1,2018-01-22
2018-01-08,1,1,2018-01-15
2018-01-01,2,2,2018-01-08
